종목명(코드),현재가,전일비,등락률,거래량,거래대금(백만),시가총액(억)
한국콜마 (161890),"106,800",▲ 900,+0.85%,"82,398","8,785","25,210"
iM금융지주 (139130),"15,135",▲ 155,+1.03%,"604,971","9,144","25,184"
농심 (004370),"405,500","▲ 5,000",+1.25%,"18,138","7,326","24,665"
한국앤컴퍼니 (000240),"25,450","▲ 1,350",+5.60%,"156,387","3,893","24,161"
한전KPS (051600),"53,200","▼ 1,300",-2.39%,"117,106","6,269","23,940"
롯데쇼핑 (023530),"80,000","▲ 1,900",+2.43%,"40,306","3,212","22,631"
HD현대인프라코어 (042670),"11,580",▼ 260,-2.20%,"387,936","4,543","22,302"
미스토홀딩스 (081660),"37,150",▲ 100,+0.27%,"33,932","1,262","22,326"
팬오션 (028670),"4,130",▲ 85,+2.10%,"2,246,726","9,286","22,078"
한온시스템 (018880),"3,245",▲ 5,+0.15%,"301,120",974,"22,026"
CJ대한통운 (000120),"94,200",▲ 200,+0.21%,"22,954","2,147","21,489"
BGF리테일 (282330),"124,300","▲ 3,700",+3.07%,"22,891","2,821","21,484"
엘앤에프 (066970),"55,800","▼ 2,200",-3.79%,"244,716","13,715","20,264"
호텔신라 (008770),"51,500","▲ 1,600",+3.21%,"327,516","16,824","20,213"
한솔케미칼 (014680),"177,700","▼ 1,800",-1.00%,"17,733","3,156","20,143"
씨에스윈드 (112610),"47,450",▼ 950,-1.96%,"82,187","3,909","20,010"
SK아이이테크놀로지 (361610),"28,000",▼ 450,-1.58%,"67,582","1,914","19,963"
동원산업 (006040),"49,750",▲ 400,+0.81%,"15,836",783,"19,713"
영원무역홀딩스 (009970),"143,400","▲ 5,400",+3.91%,"9,450","1,342","19,358"
대웅제약 (069620),"163,900","▲ 2,400",+1.49%,"16,151","2,644","18,990"
신세계 (004170),"196,400","▲ 10,800",+5.82%,"49,218","9,580","18,943"
DL이앤씨 (375500),"48,850",▼ 650,-1.31%,"100,706","4,929","18,902"
현대백화점 (069960),"83,300","▲ 4,700",+5.98%,"107,508","8,814","18,850"
GS건설 (006360),"21,150",▲ 250,+1.20%,"210,515","4,454","18,100"
OCI홀딩스 (010060),"91,200","▼ 2,800",-2.98%,"109,399","9,985","17,159"
대우건설 (047040),"4,120",▲ 25,+0.61%,"342,729","1,408","17,124"
HL만도 (204320),"35,600",▲ 350,+0.99%,"137,231","4,891","16,717"
오뚜기 (007310),"409,500", 0,0.00%,"2,979","1,222","16,412"
대웅 (003090),"27,600",▲ 150,+0.55%,"84,147","2,345","16,047"
DN오토모티브 (007340),"26,900", 0,0.00%,"41,515","1,111","15,739"
오리온홀딩스 (001800),"25,050",▲ 500,+2.04%,"108,464","2,704","15,693"
녹십자 (006280),"131,800","▼ 1,100",-0.83%,"9,060","1,196","15,403"
하이트진로 (000080),"21,850",▲ 200,+0.92%,"110,145","2,409","15,324"
에스엘 (005850),"32,900",▲ 650,+2.02%,"96,130","3,160","15,282"
GS리테일 (007070),"18,190",▲ 750,+4.30%,"289,860","5,238","15,208"
금호타이어 (073240),"5,010",▲ 35,+0.70%,"330,822","1,662","14,392"
현대위아 (011210),"52,500","▲ 1,000",+1.94%,"72,100","3,739","14,277"
한올바이오파마 (009420),"26,400",▼ 100,-0.38%,"97,869","2,606","13,792"
한일시멘트 (300720),"19,285",▲ 585,+3.13%,"43,088",822,"13,357"
태광산업 (003240),"1,194,000","▼ 36,000",-2.93%,"3,012","3,567","13,294"
더블유게임즈 (192080),"60,000",▲ 100,+0.17%,"22,512","1,352","12,898"
HDC (012630),"21,450","▼ 1,300",-5.71%,"158,764","3,465","12,815"
코오롱인더 (120110),"46,000",▼ 150,-0.33%,"114,272","5,262","12,659"
SK케미칼 (285130),"73,000",▲ 200,+0.27%,"31,837","2,315","12,595"
에스디바이오센서 (137310),"10,320",▼ 10,-0.10%,"37,258",383,"12,564"
이수스페셜티케미컬 (457190),"41,500","▼ 1,150",-2.70%,"97,230","4,074","12,536"
롯데칠성 (005300),"130,800","▲ 1,000",+0.77%,"13,238","1,738","12,137"
한국카본 (017960),"22,900",▲ 500,+2.23%,"238,936","5,484","11,887"
종근당 (185750),"83,800",▼ 700,-0.83%,"7,384",621,"11,567"
효성티앤씨 (298020),"267,000",▲ 500,+0.19%,"3,722",990,"11,555"
롯데웰푸드 (280360),"122,950","▼ 1,350",-1.09%,"12,576","1,557","11,440"
세아베스틸지주 (001430),"31,750",▲ 750,+2.42%,"219,897","7,064","11,386"
한샘 (009240),"48,200",▼ 550,-1.13%,"26,029","1,255","11,343"
DL (000210),"53,200","▲ 1,700",+3.30%,"60,525","3,198","11,149"
지역난방공사 (071320),"93,100","▲ 2,800",+3.10%,"16,671","1,539","10,780"
GKL (114090),"17,200",▼ 250,-1.43%,"125,234","2,166","10,639"
롯데정밀화학 (004000),"40,650",▼ 600,-1.45%,"12,373",503,"10,488"
세방전지 (004490),"72,100", 0,0.00%,"22,263","1,594","10,094"
HS효성첨단소재 (298050),"211,500","▼ 3,000",-1.40%,"3,956",837,"9,475"
동원시스템즈 (014820),"31,850",▼ 450,-1.39%,"6,101",195,"9,234"
세아제강지주 (003030),"223,000","▼ 8,000",-3.46%,"5,597","1,262","9,236"
하나투어 (039130),"57,600",▲ 700,+1.23%,"87,105","4,959","8,922"
영풍 (000670),"45,550",▼ 700,-1.51%,"11,041",504,"8,704"
대상 (001680),"24,000",▲ 400,+1.69%,"91,908","2,207","8,316"
녹십자홀딩스 (005250),"16,760",▲ 30,+0.18%,"32,516",543,"7,882"
미원상사 (002840),"165,600","▼ 1,600",-0.96%,988,164,"7,866"
덴티움 (145720),"70,900","▲ 1,200",+1.72%,"25,580","1,790","7,848"
미원에스씨 (268280),"154,800",▼ 200,-0.13%,351,54,"7,740"
KG모빌리티 (003620),"3,765",▲ 20,+0.53%,"58,885",221,"7,619"
TKG휴켐스 (069260),"17,230",▼ 310,-1.77%,"34,990",605,"7,043"
율촌화학 (008730),"27,100",▼ 750,-2.69%,"108,558","2,948","6,721"
대한유화 (006650),"102,500","▼ 1,700",-1.63%,"13,816","1,413","6,662"
코스모화학 (005420),"15,250",▼ 170,-1.10%,"62,570",960,"5,857"
OCI (456040),"57,400",▼ 800,-1.37%,"18,600","1,068","5,139"
후성 (093370),"4,790",▼ 110,-2.24%,"176,706",851,"5,138"
TCC스틸 (002710),"17,100",▼ 500,-2.84%,"77,996","1,340","4,483"
